==115680== NVPROF is profiling process 115680, command: ./a.out ../models/bunny.stl
==115680== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==115680== Profiling application: ./a.out ../models/bunny.stl
==115680== Profiling result:
==115680== Metric result:
Invocations                               Metric Name                                                    Metric Description         Min         Max         Avg
Device "TITAN Xp (0)"
    Kernel: pps(triangle*, unsigned long, bool*)
          1                                inst_fp_64                                               FP Instructions(Double)  1.2794e+10  1.2794e+10  1.2794e+10
          1                              inst_integer                                                  Integer Instructions  7253009731  7253009731  7253009731
          1                          inst_bit_convert                                              Bit-Convert Instructions      250644      250644      250644
          1                              inst_control                                             Control-Flow Instructions  9774127588  9774127588  9774127588
          1                        inst_compute_ld_st                                               Load/Store Instructions  1.4140e+10  1.4140e+10  1.4140e+10
          1                                 inst_misc                                                     Misc Instructions  4356018014  4356018014  4356018014
          1           inst_inter_thread_communication                                             Inter-Thread Instructions           0           0           0
          1                               issue_slots                                                           Issue Slots  1660093722  1660093722  1660093722
          1                                 cf_issued                                      Issued Control-Flow Instructions   406743131   406743131   406743131
          1                               cf_executed                                    Executed Control-Flow Instructions   406743131   406743131   406743131
          1                               ldst_issued                                        Issued Load/Store Instructions   451847660   451847660   451847660
          1                             ldst_executed                                      Executed Load/Store Instructions   529765029   529765029   529765029
          1                       atomic_transactions                                                   Atomic Transactions      136546      136546      136546
          1           atomic_transactions_per_request                                       Atomic Transactions Per Request   10.996698   10.996698   10.996698
          1                      l2_atomic_throughput                                       L2 Throughput (Atomic requests)  43.027MB/s  43.027MB/s  43.027MB/s
          1                    l2_atomic_transactions                                     L2 Transactions (Atomic requests)      275540      275540      275540
          1                  l2_tex_read_transactions                                       L2 Transactions (Texture Reads)    98518004    98518004    98518004
          1                     stall_memory_throttle                                 Issue Stall Reasons (Memory Throttle)       0.00%       0.00%       0.00%
          1                        stall_not_selected                                    Issue Stall Reasons (Not Selected)       0.10%       0.10%       0.10%
          1                 l2_tex_write_transactions                                      L2 Transactions (Texture Writes)      102338      102338      102338
          1                             flop_count_hp                             Floating Point Operations(Half Precision)           0           0           0
          1                         flop_count_hp_add                         Floating Point Operations(Half Precision Add)           0           0           0
          1                         flop_count_hp_mul                          Floating Point Operation(Half Precision Mul)           0           0           0
          1                         flop_count_hp_fma                         Floating Point Operations(Half Precision FMA)           0           0           0
          1                                inst_fp_16                                                 HP Instructions(Half)           0           0           0
          1                   sysmem_read_utilization                                        System Memory Read Utilization    Idle (0)    Idle (0)    Idle (0)
          1                  sysmem_write_utilization                                       System Memory Write Utilization     Low (1)     Low (1)     Low (1)
          1               pcie_total_data_transmitted                                           PCIe Total Data Transmitted       20992       20992       20992
          1                  pcie_total_data_received                                              PCIe Total Data Received        3584        3584        3584
          1                inst_executed_global_loads                              Warp level instructions for global loads     3078451     3078451     3078451
          1                 inst_executed_local_loads                               Warp level instructions for local loads       44055       44055       44055
          1                inst_executed_shared_loads                              Warp level instructions for shared loads   435336284   435336284   435336284
          1               inst_executed_surface_loads                             Warp level instructions for surface loads           0           0           0
          1               inst_executed_global_stores                             Warp level instructions for global stores       25200       25200       25200
          1                inst_executed_local_stores                              Warp level instructions for local stores    87097740    87097740    87097740
          1               inst_executed_shared_stores                             Warp level instructions for shared stores     3076101     3076101     3076101
          1              inst_executed_surface_stores                            Warp level instructions for surface stores           0           0           0
          1              inst_executed_global_atomics                  Warp level instructions for global atom and atom cas       11060       11060       11060
          1           inst_executed_global_reductions                         Warp level instructions for global reductions        1357        1357        1357
          1             inst_executed_surface_atomics                 Warp level instructions for surface atom and atom cas           0           0           0
          1          inst_executed_surface_reductions                        Warp level instructions for surface reductions           0           0           0
          1              inst_executed_shared_atomics                  Warp level shared instructions for atom and atom CAS           0           0           0
          1                     inst_executed_tex_ops                                   Warp level instructions for texture           0           0           0
          1                      l2_global_load_bytes       Bytes read from L2 for misses in Unified Cache for global loads  3151317472  3151317472  3151317472
          1                       l2_local_load_bytes        Bytes read from L2 for misses in Unified Cache for local loads     1286624     1286624     1286624
          1                     l2_surface_load_bytes      Bytes read from L2 for misses in Unified Cache for surface loads           0           0           0
          1               l2_local_global_store_bytes   Bytes written to L2 from Unified Cache for local and global stores.     3402496     3402496     3402496
          1                 l2_global_reduction_bytes          Bytes written to L2 from Unified cache for global reductions       43904       43904       43904
          1              l2_global_atomic_store_bytes             Bytes written to L2 from Unified cache for global atomics     4082112     4082112     4082112
          1                    l2_surface_store_bytes            Bytes written to L2 from Unified Cache for surface stores.           0           0           0
          1                l2_surface_reduction_bytes         Bytes written to L2 from Unified Cache for surface reductions           0           0           0
          1             l2_surface_atomic_store_bytes    Bytes transferred between Unified Cache and L2 for surface atomics           0           0           0
          1                      global_load_requests              Total number of global load requests from Multiprocessor    12354026    12354026    12354026
          1                       local_load_requests               Total number of local load requests from Multiprocessor      144073      144073      144073
          1                     surface_load_requests             Total number of surface load requests from Multiprocessor           0           0           0
          1                     global_store_requests             Total number of global store requests from Multiprocessor      124189      124189      124189
          1                      local_store_requests              Total number of local store requests from Multiprocessor       56111       56111       56111
          1                    surface_store_requests            Total number of surface store requests from Multiprocessor           0           0           0
          1                    global_atomic_requests            Total number of global atomic requests from Multiprocessor       39492       39492       39492
          1                 global_reduction_requests         Total number of global reduction requests from Multiprocessor        1393        1393        1393
          1                   surface_atomic_requests           Total number of surface atomic requests from Multiprocessor           0           0           0
          1                surface_reduction_requests        Total number of surface reduction requests from Multiprocessor           0           0           0
          1                         sysmem_read_bytes                                              System Memory Read Bytes           0           0           0
