==3710359== NVPROF is profiling process 3710359, command: ./mfps-64 ../models/bunny.stl
==3710359== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==3710359== Profiling application: ./mfps-64 ../models/bunny.stl
==3710359== Profiling result:
==3710359== Metric result:
Invocations                               Metric Name                                                    Metric Description         Min         Max         Avg
Device "TITAN Xp (0)"
    Kernel: mfps(triangle*, unsigned long, char*, unsigned long*, int*)
          1                             inst_per_warp                                                 Instructions per warp  3.1771e+03  3.1771e+03  3.1771e+03
          1                         branch_efficiency                                                     Branch Efficiency     100.00%     100.00%     100.00%
          1                 warp_execution_efficiency                                             Warp Execution Efficiency      99.69%      99.69%      99.69%
          1         warp_nonpred_execution_efficiency                              Warp Non-Predicated Execution Efficiency      96.33%      96.33%      96.33%
          1                      inst_replay_overhead                                           Instruction Replay Overhead    0.000087    0.000087    0.000087
          1      shared_load_transactions_per_request                           Shared Memory Load Transactions Per Request    0.000000    0.000000    0.000000
          1     shared_store_transactions_per_request                          Shared Memory Store Transactions Per Request    0.000000    0.000000    0.000000
          1       local_load_transactions_per_request                            Local Memory Load Transactions Per Request   31.540180   31.540180   31.540180
          1      local_store_transactions_per_request                           Local Memory Store Transactions Per Request    4.000000    4.000000    4.000000
          1              gld_transactions_per_request                                  Global Load Transactions Per Request   29.613189   29.613189   29.613189
          1              gst_transactions_per_request                                 Global Store Transactions Per Request    1.007378    1.007378    1.007378
          1                 shared_store_transactions                                             Shared Store Transactions           0           0           0
          1                  shared_load_transactions                                              Shared Load Transactions           0           0           0
          1                   local_load_transactions                                               Local Load Transactions   142811664   142811664   142811664
          1                  local_store_transactions                                              Local Store Transactions   285343744   285343744   285343744
          1                          gld_transactions                                              Global Load Transactions   329943042   329943042   329943042
          1                          gst_transactions                                             Global Store Transactions     1118464     1118464     1118464
          1                  sysmem_read_transactions                                       System Memory Read Transactions           0           0           0
          1                 sysmem_write_transactions                                      System Memory Write Transactions           5           5           5
          1                      l2_read_transactions                                                  L2 Read Transactions    82541962    82541962    82541962
          1                     l2_write_transactions                                                 L2 Write Transactions   286501814   286501814   286501814
          1                           global_hit_rate                                     Global Hit Rate in unified l1/tex       0.00%       0.00%       0.00%
          1                            local_hit_rate                                                        Local Hit Rate      50.04%      50.04%      50.04%
          1                  gld_requested_throughput                                      Requested Global Load Throughput  356.92MB/s  356.92MB/s  356.92MB/s
          1                  gst_requested_throughput                                     Requested Global Store Throughput  20.139MB/s  20.139MB/s  20.139MB/s
          1                            gld_throughput                                                Global Load Throughput  1.3942GB/s  1.3942GB/s  1.3942GB/s
          1                            gst_throughput                                               Global Store Throughput  143.21MB/s  143.21MB/s  143.21MB/s
          1                     local_memory_overhead                                                 Local Memory Overhead      96.67%      96.67%      96.67%
          1                        tex_cache_hit_rate                                                Unified Cache Hit Rate      51.19%      51.19%      51.19%
          1                      l2_tex_read_hit_rate                                           L2 Hit Rate (Texture Reads)      96.12%      96.12%      96.12%
          1                     l2_tex_write_hit_rate                                          L2 Hit Rate (Texture Writes)      98.28%      98.28%      98.28%
