==115363== NVPROF is profiling process 115363, command: ./a.out ../models/club.stl
==115363== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==115363== Profiling application: ./a.out ../models/club.stl
==115363== Profiling result:
==115363== Metric result:
Invocations                               Metric Name                                                    Metric Description         Min         Max         Avg
Device "TITAN Xp (0)"
    Kernel: pps(triangle*, unsigned long, bool*)
          1                              inst_integer                                                  Integer Instructions  1031982215  1031982215  1031982215
          1                          inst_bit_convert                                              Bit-Convert Instructions      160808      160808      160808
          1                              inst_control                                             Control-Flow Instructions  1372543233  1372543233  1372543233
          1                        inst_compute_ld_st                                               Load/Store Instructions  1985980477  1985980477  1985980477
          1                                 inst_misc                                                     Misc Instructions   604341254   604341254   604341254
          1           inst_inter_thread_communication                                             Inter-Thread Instructions           0           0           0
          1                               issue_slots                                                           Issue Slots   223958388   223958388   223958388
          1                                 cf_issued                                      Issued Control-Flow Instructions    54368989    54368989    54368989
          1                               cf_executed                                    Executed Control-Flow Instructions    54368989    54368989    54368989
          1                               ldst_issued                                        Issued Load/Store Instructions    63583804    63583804    63583804
          1                             ldst_executed                                      Executed Load/Store Instructions    74435717    74435717    74435717
          1                       atomic_transactions                                                   Atomic Transactions          48          48          48
          1           atomic_transactions_per_request                                       Atomic Transactions Per Request    1.000000    1.000000    1.000000
          1                      l2_atomic_throughput                                       L2 Throughput (Atomic requests)  130.69KB/s  130.69KB/s  130.69KB/s
          1                    l2_atomic_transactions                                     L2 Transactions (Atomic requests)         108         108         108
          1                  l2_tex_read_transactions                                       L2 Transactions (Texture Reads)    13859889    13859889    13859889
          1                     stall_memory_throttle                                 Issue Stall Reasons (Memory Throttle)       0.00%       0.00%       0.00%
          1                        stall_not_selected                                    Issue Stall Reasons (Not Selected)       0.10%       0.10%       0.10%
          1                 l2_tex_write_transactions                                      L2 Transactions (Texture Writes)       30217       30217       30217
          1                             flop_count_hp                             Floating Point Operations(Half Precision)           0           0           0
          1                         flop_count_hp_add                         Floating Point Operations(Half Precision Add)           0           0           0
          1                         flop_count_hp_mul                          Floating Point Operation(Half Precision Mul)           0           0           0
          1                         flop_count_hp_fma                         Floating Point Operations(Half Precision FMA)           0           0           0
          1                                inst_fp_16                                                 HP Instructions(Half)           0           0           0
          1                   sysmem_read_utilization                                        System Memory Read Utilization    Idle (0)    Idle (0)    Idle (0)
          1                  sysmem_write_utilization                                       System Memory Write Utilization     Low (1)     Low (1)     Low (1)
          1               pcie_total_data_transmitted                                           PCIe Total Data Transmitted        3072        3072        3072
          1                  pcie_total_data_received                                              PCIe Total Data Received           0           0           0
          1                inst_executed_global_loads                              Warp level instructions for global loads      433845      433845      433845
          1                 inst_executed_local_loads                               Warp level instructions for local loads       25236       25236       25236
          1                inst_executed_shared_loads                              Warp level instructions for shared loads    61107824    61107824    61107824
          1               inst_executed_surface_loads                             Warp level instructions for surface loads           0           0           0
          1               inst_executed_global_stores                             Warp level instructions for global stores       25000       25000       25000
          1                inst_executed_local_stores                              Warp level instructions for local stores    12257679    12257679    12257679
          1               inst_executed_shared_stores                             Warp level instructions for shared stores      433791      433791      433791
          1              inst_executed_surface_stores                            Warp level instructions for surface stores           0           0           0
          1              inst_executed_global_atomics                  Warp level instructions for global atom and atom cas          24          24          24
          1           inst_executed_global_reductions                         Warp level instructions for global reductions          24          24          24
          1             inst_executed_surface_atomics                 Warp level instructions for surface atom and atom cas           0           0           0
          1          inst_executed_surface_reductions                        Warp level instructions for surface reductions           0           0           0
          1              inst_executed_shared_atomics                  Warp level shared instructions for atom and atom CAS           0           0           0
          1                     inst_executed_tex_ops                                   Warp level instructions for texture           0           0           0
          1                      l2_global_load_bytes       Bytes read from L2 for misses in Unified Cache for global loads   443347392   443347392   443347392
          1                       l2_local_load_bytes        Bytes read from L2 for misses in Unified Cache for local loads      169056      169056      169056
          1                     l2_surface_load_bytes      Bytes read from L2 for misses in Unified Cache for surface loads           0           0           0
          1               l2_local_global_store_bytes   Bytes written to L2 from Unified Cache for local and global stores.      966944      966944      966944
