==3710704== NVPROF is profiling process 3710704, command: ./mfps-8 ../models/bunny.stl
==3710704== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==3710704== Profiling application: ./mfps-8 ../models/bunny.stl
==3710704== Profiling result:
==3710704== Metric result:
Invocations                               Metric Name                                                    Metric Description         Min         Max         Avg
Device "TITAN Xp (0)"
    Kernel: mfps(triangle*, unsigned long, char*, unsigned long*, int*)
          1                                inst_fp_32                                               FP Instructions(Single)  1.8262e+10  1.8262e+10  1.8262e+10
          1                                inst_fp_64                                               FP Instructions(Double)  4.9905e+10  4.9905e+10  4.9905e+10
          1                              inst_integer                                                  Integer Instructions  1.6266e+10  1.6266e+10  1.6266e+10
          1                          inst_bit_convert                                              Bit-Convert Instructions  4850843648  4850843648  4850843648
          1                              inst_control                                             Control-Flow Instructions  9416364753  9416364753  9416364753
          1                        inst_compute_ld_st                                               Load/Store Instructions  2568392563  2568392563  2568392563
          1                                 inst_misc                                                     Misc Instructions  1.3411e+10  1.3411e+10  1.3411e+10
          1           inst_inter_thread_communication                                             Inter-Thread Instructions           0           0           0
          1                               issue_slots                                                           Issue Slots  3568534637  3568534637  3568534637
          1                                 cf_issued                                      Issued Control-Flow Instructions   303221881   303221881   303221881
          1                               cf_executed                                    Executed Control-Flow Instructions   303221881   303221881   303221881
          1                               ldst_issued                                        Issued Load/Store Instructions   339142936   339142936   339142936
          1                             ldst_executed                                      Executed Load/Store Instructions    98384074    98384074    98384074
          1                       atomic_transactions                                                   Atomic Transactions       17556       17556       17556
          1           atomic_transactions_per_request                                       Atomic Transactions Per Request    0.998692    0.998692    0.998692
          1                      l2_atomic_throughput                                       L2 Throughput (Atomic requests)  2.1067MB/s  2.1067MB/s  2.1067MB/s
          1                    l2_atomic_transactions                                     L2 Transactions (Atomic requests)       35162       35162       35162
          1                  l2_tex_read_transactions                                       L2 Transactions (Texture Reads)    80392992    80392992    80392992
          1                     stall_memory_throttle                                 Issue Stall Reasons (Memory Throttle)       0.00%       0.00%       0.00%
          1                        stall_not_selected                                    Issue Stall Reasons (Not Selected)       0.04%       0.04%       0.04%
          1                 l2_tex_write_transactions                                      L2 Transactions (Texture Writes)      140064      140064      140064
          1                             flop_count_hp                             Floating Point Operations(Half Precision)           0           0           0
          1                         flop_count_hp_add                         Floating Point Operations(Half Precision Add)           0           0           0
          1                         flop_count_hp_mul                          Floating Point Operation(Half Precision Mul)           0           0           0
          1                         flop_count_hp_fma                         Floating Point Operations(Half Precision FMA)           0           0           0
          1                                inst_fp_16                                                 HP Instructions(Half)           0           0           0
          1                   sysmem_read_utilization                                        System Memory Read Utilization    Idle (0)    Idle (0)    Idle (0)
          1                  sysmem_write_utilization                                       System Memory Write Utilization     Low (1)     Low (1)     Low (1)
          1               pcie_total_data_transmitted                                           PCIe Total Data Transmitted       40960       40960       40960
          1                  pcie_total_data_received                                              PCIe Total Data Received        6144        6144        6144
          1                inst_executed_global_loads                              Warp level instructions for global loads    80392752    80392752    80392752
          1                 inst_executed_local_loads                               Warp level instructions for local loads           0           0           0
          1                inst_executed_shared_loads                              Warp level instructions for shared loads           0           0           0
          1               inst_executed_surface_loads                             Warp level instructions for surface loads           0           0           0
          1               inst_executed_global_stores                             Warp level instructions for global stores      139776      139776      139776
          1                inst_executed_local_stores                              Warp level instructions for local stores           0           0           0
          1               inst_executed_shared_stores                             Warp level instructions for shared stores           0           0           0
          1              inst_executed_surface_stores                            Warp level instructions for surface stores           0           0           0
          1              inst_executed_global_atomics                  Warp level instructions for global atom and atom cas       17579       17579       17579
          1           inst_executed_global_reductions                         Warp level instructions for global reductions           0           0           0
          1             inst_executed_surface_atomics                 Warp level instructions for surface atom and atom cas           0           0           0
          1          inst_executed_surface_reductions                        Warp level instructions for surface reductions           0           0           0
          1              inst_executed_shared_atomics                  Warp level shared instructions for atom and atom CAS           0           0           0
          1                     inst_executed_tex_ops                                   Warp level instructions for texture           0           0           0
          1                      l2_global_load_bytes       Bytes read from L2 for misses in Unified Cache for global loads  2572575744  2572575744  2572575744
          1                       l2_local_load_bytes        Bytes read from L2 for misses in Unified Cache for local loads           0           0           0
          1                     l2_surface_load_bytes      Bytes read from L2 for misses in Unified Cache for surface loads           0           0           0
          1               l2_local_global_store_bytes   Bytes written to L2 from Unified Cache for local and global stores.     4482048     4482048     4482048
          1                 l2_global_reduction_bytes          Bytes written to L2 from Unified cache for global reductions           0           0           0
          1              l2_global_atomic_store_bytes             Bytes written to L2 from Unified cache for global atomics      563712      563712      563712
          1                    l2_surface_store_bytes            Bytes written to L2 from Unified Cache for surface stores.           0           0           0
          1                l2_surface_reduction_bytes         Bytes written to L2 from Unified Cache for surface reductions           0           0           0
          1             l2_surface_atomic_store_bytes    Bytes transferred between Unified Cache and L2 for surface atomics           0           0           0
          1                      global_load_requests              Total number of global load requests from Multiprocessor   321151504   321151504   321151504
          1                       local_load_requests               Total number of local load requests from Multiprocessor           0           0           0
          1                     surface_load_requests             Total number of surface load requests from Multiprocessor           0           0           0
