==3710412== NVPROF is profiling process 3710412, command: ./mfps-32 ../models/bunny.stl
==3710412== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==3710412== Profiling application: ./mfps-32 ../models/bunny.stl
==3710412== Profiling result:
==3710412== Metric result:
Invocations                               Metric Name                                                    Metric Description         Min         Max         Avg
Device "TITAN Xp (0)"
    Kernel: mfps(triangle*, unsigned long, char*, unsigned long*, int*)
          1                             inst_per_warp                                                 Instructions per warp  1.6161e+03  1.6161e+03  1.6161e+03
          1                         branch_efficiency                                                     Branch Efficiency     100.00%     100.00%     100.00%
          1                 warp_execution_efficiency                                             Warp Execution Efficiency      99.87%      99.87%      99.87%
          1         warp_nonpred_execution_efficiency                              Warp Non-Predicated Execution Efficiency      96.50%      96.50%      96.50%
          1                      inst_replay_overhead                                           Instruction Replay Overhead    0.000073    0.000073    0.000073
          1      shared_load_transactions_per_request                           Shared Memory Load Transactions Per Request    0.000000    0.000000    0.000000
          1     shared_store_transactions_per_request                          Shared Memory Store Transactions Per Request    0.000000    0.000000    0.000000
          1       local_load_transactions_per_request                            Local Memory Load Transactions Per Request   31.891304   31.891304   31.891304
          1      local_store_transactions_per_request                           Local Memory Store Transactions Per Request    4.000000    4.000000    4.000000
          1              gld_transactions_per_request                                  Global Load Transactions Per Request   31.353687   31.353687   31.353687
          1              gst_transactions_per_request                                 Global Store Transactions Per Request    1.005292    1.005292    1.005292
          1                 shared_store_transactions                                             Shared Store Transactions           0           0           0
          1                  shared_load_transactions                                              Shared Load Transactions           0           0           0
          1                   local_load_transactions                                               Local Load Transactions   142741776   142741776   142741776
          1                  local_store_transactions                                              Local Store Transactions   285343744   285343744   285343744
          1                          gld_transactions                                              Global Load Transactions   646481922   646481922   646481922
          1                          gst_transactions                                             Global Store Transactions      559232      559232      559232
          1                  sysmem_read_transactions                                       System Memory Read Transactions           0           0           0
          1                 sysmem_write_transactions                                      System Memory Write Transactions           5           5           5
          1                      l2_read_transactions                                                  L2 Read Transactions    91986334    91986334    91986334
          1                     l2_write_transactions                                                 L2 Write Transactions   285923283   285923283   285923283
          1                           global_hit_rate                                     Global Hit Rate in unified l1/tex       0.00%       0.00%       0.00%
          1                            local_hit_rate                                                        Local Hit Rate      50.02%      50.02%      50.02%
          1                  gld_requested_throughput                                      Requested Global Load Throughput  649.55MB/s  649.55MB/s  649.55MB/s
          1                  gst_requested_throughput                                     Requested Global Store Throughput  9.9081MB/s  9.9081MB/s  9.9081MB/s
          1                            gld_throughput                                                Global Load Throughput  2.5373GB/s  2.5373GB/s  2.5373GB/s
          1                            gst_throughput                                               Global Store Throughput  70.457MB/s  70.457MB/s  70.457MB/s
          1                     local_memory_overhead                                                 Local Memory Overhead      94.39%      94.39%      94.39%
          1                        tex_cache_hit_rate                                                Unified Cache Hit Rate      52.46%      52.46%      52.46%
          1                      l2_tex_read_hit_rate                                           L2 Hit Rate (Texture Reads)      99.83%      99.83%      99.83%
          1                     l2_tex_write_hit_rate                                          L2 Hit Rate (Texture Writes)      99.95%      99.95%      99.95%
